Number,Name of ship,Master,Tonnage,Type of ship,Built,Yard,Chamber,Date of departure,Place of departure,Arrival at Cape,Departure from Cape,Date of arrival at destination,Place of arrival,Chamber for which cargo is destined,Particulars,people
20.1,HOOP,"Noris, Kornelis Jansz.",500,"","","","",27-06-1598,Goeree,"","","","","","De Cordes, on board of the HOOP, was killed by natives on La Mocha I., 11-11-1599 and succeeded by Hudcupee; the HOOP sailed via Hawaii and was lost with all hands, 24-09-1600.","{""Total""=>{""I""=>""120 or 130"", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
21.1,LIEFDE,"Kwakernaak, Jakob Jansz.",300,"","","","",27-06-1598,Goeree,"","","","","","Van Beuningen, vice-admiraal since 24-09-1598, aboard the LIEFDE was killed in S. Maria with 22 men and succeeded by Kwakernaak; the LIEFDE sailed via Hawaii and arrived in Japan 19-04-1600 with only 24/25 men. The Japanese confiscated the ship, but released the crew; later the ship was lost in Japanese waters.","{""Total""=>{""I""=>110, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
22.1,POSTILJON,"Jansz., Gillis","",pinas,"","","","","","","","","","","The POSTILJON was taken with the fleet in 4 parts and put together in Strait of Magellan, but lost with all hands in the Pacific.",{}
23.1,TROUW,"Bokholt, Jurriaan van",220,"","","","",27-06-1598,Goeree,"","",03-01-1601,Tidore,"","The TROUW, under command of Balthasar de Cordes, who succeeded Jurriaan van Bokholt after his death 28-04-1599, arrived in Tidore, where the Portuguese laid an embargo on the ship and killed almost the whole crew.","{""Total""=>{""I""=>""86 or 69"", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
24.1,EENDRACHT,"Lint, Pieter Esaiasz. de",50,jacht,"","","",13-09-1598,Zeeland,"","","","","","Fleet (0024-0027) under command of admiraal Olivier van Noort aboard the MAURITIUS and vice-admiraal Jakob Klaasz. van Ilpendam aboard the HENDRIK FREDERIK. Total of those on board 248. The MAURITIUS and the EENDRACHT were equipped by a Rotterdam company, the HENDRIK FREDERIK and the HOOP by an Amsterdam company. From 11-12 till 17-12 at Principe I. 
From 02-06 till 21-06 at S. Clara I., where the EENDRACHT was deserted and set on fire, because of unseaworthiness; from 20-09 till 29-10 at Port Desire; October 9th. the HOOP was renamed EENDRACHT; from 04-11 till 29-02 in Strait of Magellan, where they meet the GELOOF of the fleet of Mahu; January 26th Van Ilpendam was left behind on an island because of insubordination, De Lint became his successor as vice-admiraal from 15-10 till 20-11 at the Philippines and December 9th. before Manila, where the EENDRACHT was captured by the Spaniards December 14th. The MAURITIUS proceeded alone to Borneo December 26th; the HENDRIK FREDERIK ran ashore near Ternate, February 1601 and was sold to the sultan of Ternate. Huidekoper, captain of the HOOP died October 7th and was succeeded by Pieter de Lint who on his turn was succeeded by Lambert Biesman January 28th, 1600, after his appointment as vice-admiraal in stead of Van Ilpendam.",{}
25.1,HENDRIK FREDERIK,"Kalkbuis, Arend Klaasz.",350,"","","","",13-09-1598,Zeeland,"","",-02/03-1601,Ternate,"",Ran ashore at Ternate.,{}
26.1,HOOP,"Huidekoper, Jakob Jansz.",50,jacht,"","","",13-09-1598,Zeeland,"","","","","","",{}
27.1,MAURITIUS,"Troyen, Huigen Jansz. van",250,"","","","",13-09-1598,Zeeland,"","",29-01-1601,Djaratan,"","",{}
28.1,WASSENDE MAAN,"Heinsz., Kornelis",500,"","","","",06-04-1599,Texel,"","",13-03-1600,Bantam,"","Fleet (0028-0030) under command of admiraal Steven van der Hagen, aboard the ZON and vice-admiraal Kornelis Heinsz. equipped by the 'Oude Oostindische Compagnie'. From 08-05 till 16-05 at Maio I.; from 02-07 till 17-07 before Corsico; from 27-10 till 10-11 Sonnebaai (Madagascar) and from 17-11 till 21-12 in the Bay of Antongil.",{}
29.1,MORGENSTER,"Melknap, Kornelis Jansz.",400,"","","","",06-04-1599,Texel,"","",13-03-1600,Bantam,"","",{}
30.1,ZON,"Schouten, Kornelis Jansz.",580,"","","","",06-04-1599,Texel,"","",13-03-1600,Bantam,"","",{}
31.2,FRIESLAND,"Pietersz., Jakob",180,jacht,"","","",21-12-1599,Texel,"","",01-09-1600,Bantam,"",Squadron (0031-0034) of the fleet of Van Neck which sailed later under command of vice-admiraal Jakob Willekens aboard the MAURITIUS.,"{""Total""=>{""I""=>46, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
32.3,HOLLANDIA,"Nek, Pieter Klaasz.",460,"",1594,Amsterdam,"",21-12-1599,Texel,"","",01-09-1600,Bantam,"","","{""Total""=>{""I""=>95, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
33.3,OVERIJSSEL,"Michielsz., Thijmen",50,jacht,1594,Amsterdam,"",21-12-1599,Texel,"","",01-09-1600,Bantam,"","","{""Total""=>{""I""=>21, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
34.3,MAURITIUS,"Jansz., Govert",460,"",1594,Amsterdam,"",21-12-1599,Texel,"","",01-09-1600,Bantam,"","","{""Total""=>{""I""=>101, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
35.1,HOF VAN HOLLAND,"Dirksz., Jakob",360,"","","","",21-12-1599,Texel,"","",06-08-1600,Bantam,"","Fleet (0035-0038) under command of admiraal Pieter Both aboard the NEDERLAND and vice-admiraal Paulus van Caerden aboard the VERENIGDE LANDEN, equipped by the Nieuwe Brabantsche Compagnie.",{}
36.1,VERENIGDE LANDEN,"Gerritsz., Klaas","","","","","",21-12-1599,Texel,"","",06-08-1600,Bantam,"","",{}
37.1,NASSAU,"Kornelisz., Frederik","","","","","",21-12-1599,Texel,"","",06-08-1600,Bantam,"","",{}
38.1,NEDERLAND,"Ommeren, Ernst van","","","","","",21-12-1599,Texel,"","",06-08-1600,Bantam,"","",{}
39.1,ZWARTE AREND,"",600,"","","","",28-06-1600,Texel,"","", -10-1601,Bantam,"","Fleet (0039-0040) under command of admiraal Guilleaume Seneschel aboard the ZWARTE AREND, equipped by the Nieuwe Brabantsche Compagnie. From 01-07 till 06-07 at the Downs; from 12-07 till 14-07 at Portland; from 29-09 till 31-09 at Annabon.",{}
40.1,WITTE AREND,"",600,"","","","",28-06-1600,Texel,"","", -10-1601,Bantam,"","",{}
41.1,AMSTERDAM,"Mau, Simon Lambrechtsz.",900,"",1600,"","",28-06-1600,Texel,"","",30-03-1601,Bantam,"","Fleet (0041-0046) under command of Van Neck aboard the AMSTERDAM and Foreest aboard the DORDRECHT, equipped by the Oude Oostindische Compagnie. From 01-10 till 10-10 at Annabon whereafter the fleet was divided into 2 squadrons: 1 squadron under command of Van Neck, consisted of the AMSTERDAM, the GOUDA, the DELFT and the other under command of Foreest, consisted of the LEIDEN, the DORDRECHT and the HAARLEM.","{""Total""=>{""I""=>175, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
42.1,DELFT,"Hoen, Simon Jansz.",300,jacht,"","","",28-06-1600,Texel,"","",30-03-1601,Bantam,"","","{""Total""=>{""I""=>84, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
43.1,DORDRECHT,"Mol, Dirk",900,"",1600,"","",28-06-1600,Texel,"","",09-08-1601,Bantam,"","","{""Total""=>{""I""=>166, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
44.1,GOUDA,"Kornelisz., Klaas",280,jacht,1600,"","",28-06-1600,Texel,"","",30-03-1601,Bantam,"","","{""Total""=>{""I""=>67, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
45.1,HAARLEM,"Klaasz., Kornelis",350,"",1600,"","",28-06-1600,Texel,"","",09-08-1601,Bantam,"",Left behind at Patani in September 1603 as unseaworthy.,"{""Total""=>{""I""=>80, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
46.1,LEIDEN,"Jansz., Hendrik",280,"","","","",28-06-1600,Texel,"","",09-08-1601,Bantam,"","","{""Total""=>{""I""=>77, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
47.2,LANGEBARK,"Anthonisz., Nikolaas",300,"","","","",28-01-1601,Zeeland,"","",23-08-1601,Atjeh,"",Fleet (0047-0050) of the Verenigde Zeeuwsche Compagnie. July 17th. at Anjouan; August 14th at Ceylon. Total number of deaths 5.,{}
48.1,MIDDELBURG,"Tonneman, Hans Huibrechtsz.",400,"","","","",28-01-1601,Zeeland,"","",23-08-1601,Atjeh,"",The master died at Patani in 1602.,{}
49.1,ZEELANDIA,"Bastiaansz., Kornelis",600,"","","","",28-01-1601,Zeeland,"","",23-08-1601,Atjeh,"","",{}
50.2,ZON,"Valk, Kornelis Adriaansz.",140,"","","","",28-01-1601,Zeeland,"","",23-08-1601,Atjeh,"","",{}
51.2,GELDERLAND,"Bruin, Jan",360,"","","","",23-04-1601,Texel,"","",26-12-1601,Bantam,"","Fleet (0051-0053) under command of admiraal Wolfert Harmensz. aboard the GELDERLAND and Hans Hendriksz. Bouwer, equipped by the Oude Oostindische Compagnie. From 27-09 till 20-10 at Mauritius.",{}
52.1,DUIFJE,"Schouten, Willem Kornelisz.",60,jacht,"","","",23-04-1601,Texel,"","",26-12-1601,Bantam,"","",{}
53.2,UTRECHT,"Martensz., Jan",240,"","","","",23-04-1601,Texel,"","",26-12-1601,Bantam,"","",{}
54.1,WACHTER,"Roobol, Gerrit Hendriksz.",130,jacht,"","","",23-04-1601,Texel,"","",26-12-1601,Bantam,"","",{}
55.2,ZEELANDIA,"Kornelisz., Jan",360,"","","","",23-04-1601,Texel,"","",26-12-1601,Bantam,"","",{}
56.1,ALKMAAR,"Stokmans, Pieter","","","","","",23-04-1601,Texel,"","",22-02-1602,Bantam,"","Fleet (0056-0063) under command of admiraal Jakob van Heemskerk aboard the AMSTERDAM, equipped by the Eerste Verenigde Compagnie op Oost-Indie. From 24-06 till 01-07 at Fernando Noronha; from 10-11 till 08-12 at Mayotte.",{}
57.2,AMSTERDAM,"",500,"","","","",23-04-1601,Texel,"","",22-02-1602,Bantam,"","",{}
58.1,ENKHUIZEN,"Westzanen, Willem van","",jacht,"","","",23-04-1601,Texel,"","",22-02-1602,Bantam,"","",{}
59.1,HOORN,"","","","","","",23-04-1601,Texel,"","",22-02-1602,Bantam,"","",{}
60.1,GROENE LEEUW,"","",jacht,"","","",23-04-1601,Texel,"","",22-02-1602,Bantam,"","",{}
61.1,RODE LEEUW,"Klaasz., Pieter","",jacht,"","","",23-04-1601,Texel,"","","","","","",{}
62.1,WITTE LEEUW,"",540,jacht,"",Amsterdam,"",23-04-1601,Texel,"","",22-02-1602,Bantam,"","",{}
63.1,ZWARTE LEEUW,"Blok, Adriaan","","","","","",22-04-1601,Wielingen,"","",04-04-1602,Bantam,"","",{}
64.1,LAM,"Jansz., Willem","",jacht/pinas,"","","",05-05-1601,Veere,"","","",Atjeh,"","Fleet (0064-0066) under command of Joris van Spilbergen aboard the SCHAAP, equipped by the Compagnie de Moucheron. Total number of those on board 225. From 10-05 till 15-05 at Dartmouth; from 14-06 till 20-06 at Portugal; from 02-08 till 11-08 at Corisco; from 17-08 till 30-08 at Cape Lopez; from 15-11 till 20-11 at St. Helena Bay. The SCHAAP took on provisions from 21-02 till 04-04 at the Comoro and May 31th at Ceylon. The RAM with vice-admiraal Guyon Le Fort on board via the Bay of Augustin and Ceylon.",{}
65.1,RAM,"Fort, Guyon Le",110,"","","","",05-05-1601,Veere,"","",16-09-1602,Atjeh,"",With the death of Le Fort (26-06) the RAM was sold to the V.O.C. and put under the command of Sebald de Weert (see 0067-69).,{}
66.1,SCHAAP,"Kornelisz., Pieter",110,"","","","",05-05-1601,Veere,"","",16-09-1602,Atjeh,"","",{}
67.1,TER GOES,"Spanjaard, Marten Jelisz.",240,"","","",Zeeland,31-03-1602,Wielingen,"","",28-11-1602,Ceylon,"",Squadron (0067-0069) under the command of vice-admiraal Sebald de Weert aboard the ZIERIKZEE of the fleet of Van Warwyck. The three ships of Zeeland preceded the rest of the fleet. Took on provisions in the Bay of Antongil.,{}
68.1,VLISSINGEN,"Vlissingen, Laurens Fransz. van",400/500,"","","",Zeeland,31-03-1602,Wielingen,"","",28-11-1602,Ceylon,"","",{}
69.1,ZIERIKZEE,"Jansz., Govert",760,"","","",Zeeland,31-03-1602,Wielingen,"","",28-11-1602,Ceylon,"","",{}
70.1,MAAGD VAN ENKHUIZEN,"Pietersz., Kornelis",320,"","","",Enkhuizen,17-06-1602,Texel,"","",29-04-1603,Bantam,"","The equipment (0070-0081) of the 'Fourteen ships' (without the jacht PAPEGAAITJE) under admiraal Wybrand van Warwyck on the MAURITIUS. From June 24th till July 10th the fleet lay off Plymouth; from October 11th till 21th off Annabon; and was on December 12th near the Cape. December 14th the HOLLAND, the HOLLANDSE TUIN and the STER left the main fleet, and set sail for Atjeh, the remainder sailed for Bantam.",{}
71.1,HOLLANDIA,"Hoorn, Dirk Gerritsz. van",600,"","",Amsterdam,Amsterdam,17-06-1602,Texel,"","",10-03-1603,Atjeh,"","",{}
72.1,MAAN,"Melknap, Jan Kornelisz.",500,"","","",Amsterdam,17-06-1602,Texel,"","",29-04-1603,Bantam,"","",{}
73.1,MAURITIUS,"Petten, Pieter Kornelisz. van",700,"","","",Amsterdam,17-06-1602,Texel,"","",29-04-1603,Bantam,"","",{}
74.1,NASSAU,"Venne, Kornelis van de",320,"","","",Amsterdam,17-06-1602,Texel,"","",29-04-1603,Bantam,"","",{}
75.1,PAPEGAAITJE,"",50,jacht,"","",Enkhuizen,17-06-1602,Texel,"","",29-04-1603,Bantam,"","",{}
76.1,STER,"Mathijsz., Abraham",360,"","","",Amsterdam,17-06-1602,Texel,"","",10-03-1603,Atjeh,"","",{}
77.1,HOLLANDSE TUIN,"Haak, Hendrik",360/440,"","","",Enkhuizen,17-06-1602,Texel,"","",10-03-1603,Atjeh,"","",{}
78.2,(GROTE) ZON,"Schouten, Kornelis Jansz.",580,"","","",Amsterdam,17-06-1602,Texel,"","",29-04-1603,Bantam,"","",{}
79.1,EENDRACHT,"Haai, Adriaan Kornelisz.",240,"","","",Delft,18-06-1602,Maas,"","",29-04-1603,Bantam,"","",{}
80.1,ERASMUS,"Dijk, Klaas Jansz. van",540,"","","",Rotterdam,18-06-1602,Maas,"","",29-04-1603,Bantam,"","",{}
81.1,ROTTERDAM,"Rochussen, Pieter Klaasz.",800,"","","",Rotterdam,18-06-1602,Maas,"","",29-04-1603,Bantam,"","",{}
82.1,AMSTERDAM,"Kalkbuis, Arend Klaasz.",700,"","","",Amsterdam,18-12-1603,Texel,"","",31-12-1604,Bantam,"","","{""Total""=>{""I""=>130, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
83.2,DELFT,"Schouten, Willem Kornelisz.",300,jacht,"","",Amsterdam,18-12-1603,Texel,"","",1604/1605,Atjeh,"",According to Commelin the master was Willem Lok. The ship stayed in the Indies.,"{""Total""=>{""I""=>60, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
84.1,DORDRECHT,"Riemland, Hans",900,"","","",Zeeland,18-12-1603,Wielingen,"","",31-12-1604,Bantam,"","","{""Total""=>{""I""=>160, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
85.1,DUIFJE,"Jansz., Willem",60,jacht,"",Amsterdam,Amsterdam,18-12-1603,Texel,"","",11-12-1604,Bantam,"",Stayed in the Indies.,"{""Total""=>{""I""=>20, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
86.1,ENKHUIZEN,"Collet, Klaas Thijsz.",300,jacht,"","",Enkhuizen,18-12-1603,Texel,"","",21-08-1605,Bantam,"","Ran aground off Halmaheira, 1607.","{""Total""=>{""I""=>60, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
87.1,GELDERLAND,"Mol, Jan Jansz.",500,"","","",Amsterdam,18-12-1603,Texel,"","",31-12-1604,Bantam,"","","{""Total""=>{""I""=>120, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
88.1,HOF VAN HOLLAND,"Lok, Willem",360,"","","",Amsterdam,18-12-1603,Texel,"","","",Madagascar,"",According to Commelin the master was Willem Kornelisz. Schouten.,"{""Total""=>{""I""=>70, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
89.1,HOORN,"Mooilieven, Dirk Klaasz.",700,"","",Hoorn,Hoorn,18-12-1603,Texel,"","",31-12-1604,Bantam,"",Took on provisions for about one month at Mauritius. Mooilieven was succeeded by Jan Konnelisz. van Avenhorn.,"{""Total""=>{""I""=>130, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
90.1,MEDEMBLIK,"Mooilieven, Dirk Klaasz.",250,jacht,"","",Hoorn,18-12-1603,Texel,"","",1604,Bantam,"","","{""Total""=>{""I""=>50, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
91.1,GEÜNIEERDE PROVINCIËN,"Hoen, Simon Jansz.",700,"","",Amsterdam,Amsterdam,18-12-1603,Texel,"","",31-12-1604,Bantam,"","Fleet under adm. Steven van der Hagen aboard the GEÜNIEERDE PROVINCIËN and vice-adm. Kornelis Bastiaansz. aboard the DORDRECHT (0082-0093). 10-01 till 12-02 at Plymouth; 10-03 till 30-05 at Maio Island, where the DORDRECHT and the ZEELANDIA joined the fleet; 30-06 the Cape rounded; 22-06 till 10-07 in the Verhagensbaai; 28-07 till 15-08 at Mozambique, the DELFT, the DUIFJE and the ENKHUIZEN sailed 5 days later and rejoined the fleet at the Comoro Islands; 19-08 till 27-08 at the Comoro Islands, 29-09 till 14-10 before Goa to harrass the Portuguese; 12-12 the DELFT set sail between Ceylon and Sumatra for Atjeh. The MEDEMBLIK and the HOP VAN HOLLAND left the fleet for Mauritius to look for the missing ship WACHTER. Forced by a contrary wind the ships arrived in the Bay of Antongil, where the ALKMAAR was found, deserted and destroyed by shipworm. The HOF VAN HOLLAND took over the cargo and sailed back home, the MEDEMBLIK proceeded to Bantam.","{""Total""=>{""I""=>130, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
92.1,WESTFRIESLAND,"Klunt, Jakob Jakobsz.",700,"","",Enkhuizen,Enkhuizen,18-12-1603,Texel,"","",31-12-1604,Bantam,"","","{""Total""=>{""I""=>130, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
93.1,ZEELANDIA,"Pietersz., Krijn",500,"","",Zeeland,Zeeland,18-12-1603,Wielingen,"","",1604,Cambodia,"","","{""Total""=>{""I""=>120, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
94.1,GOUDA,"Pronk, Kornelis Heinsz.",260,"","",Amsterdam,Amsterdam,02-07-1604,Texel,"","","","","","",{}
95.1,EENDRACHT,"Haai, Adriaan Kornelisz.",240,"","","",Delft,12-05-1605,"","","",13-07-1606,Bantam,"",Sent to Mauritius to collect ebony. According to Commelin departure 20-05-1605. At Mauritius 22-05-1606 (see 5068 and 5069). Destroyed by fire on the coast of Coromandel (1610).,{}
96.2,WITTE LEEUW,"Jakobsz., Wouter",540,jacht,"",Amsterdam,Amsterdam,12-05-1605,Texel,"","",01-05-1606,Johore,"",According to Commelin the master was Gerrit Hendriksz. Roobol; according to Mac Leod Klaas Jansz. Melknap.,"{""Total""=>{""I""=>104, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
