Number,Name of ship,Master,Tonnage,Type of ship,Built,Yard,Chamber,Date of departure,Place of departure,Arrival at Cape,Departure from Cape,Date of arrival at destination,Place of arrival,Chamber for which cargo is destined,Particulars,people
21.1,LIEFDE,"Kwakernaak, Jakob Jansz.",300,"","","","",27-06-1598,Goeree,"","","","","","Van Beuningen, vice-admiraal since 24-09-1598, aboard the LIEFDE was killed in S. Maria with 22 men and succeeded by Kwakernaak; the LIEFDE sailed via Hawaii and arrived in Japan 19-04-1600 with only 24/25 men. The Japanese confiscated the ship, but released the crew; later the ship was lost in Japanese waters.","{""Total""=>{""I""=>110, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
23.1,TROUW,"Bokholt, Jurriaan van",220,"","","","",27-06-1598,Goeree,"","",03-01-1601,Tidore,"","The TROUW, under command of Balthasar de Cordes, who succeeded Jurriaan van Bokholt after his death 28-04-1599, arrived in Tidore, where the Portuguese laid an embargo on the ship and killed almost the whole crew.","{""Total""=>{""I""=>""86 or 69"", ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
25.1,HENDRIK FREDERIK,"Kalkbuis, Arend Klaasz.",350,"","","","",13-09-1598,Zeeland,"","",-02/03-1601,Ternate,"",Ran ashore at Ternate.,{}
27.1,MAURITIUS,"Troyen, Huigen Jansz. van",250,"","","","",13-09-1598,Zeeland,"","",29-01-1601,Djaratan,"","",{}
29.1,MORGENSTER,"Melknap, Kornelis Jansz.",400,"","","","",06-04-1599,Texel,"","",13-03-1600,Bantam,"","",{}
31.2,FRIESLAND,"Pietersz., Jakob",180,jacht,"","","",21-12-1599,Texel,"","",01-09-1600,Bantam,"",Squadron (0031-0034) of the fleet of Van Neck which sailed later under command of vice-admiraal Jakob Willekens aboard the MAURITIUS.,"{""Total""=>{""I""=>46, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
33.3,OVERIJSSEL,"Michielsz., Thijmen",50,jacht,1594,Amsterdam,"",21-12-1599,Texel,"","",01-09-1600,Bantam,"","","{""Total""=>{""I""=>21, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
35.1,HOF VAN HOLLAND,"Dirksz., Jakob",360,"","","","",21-12-1599,Texel,"","",06-08-1600,Bantam,"","Fleet (0035-0038) under command of admiraal Pieter Both aboard the NEDERLAND and vice-admiraal Paulus van Caerden aboard the VERENIGDE LANDEN, equipped by the Nieuwe Brabantsche Compagnie.",{}
37.1,NASSAU,"Kornelisz., Frederik","","","","","",21-12-1599,Texel,"","",06-08-1600,Bantam,"","",{}
39.1,ZWARTE AREND,"",600,"","","","",28-06-1600,Texel,"","", -10-1601,Bantam,"","Fleet (0039-0040) under command of admiraal Guilleaume Seneschel aboard the ZWARTE AREND, equipped by the Nieuwe Brabantsche Compagnie. From 01-07 till 06-07 at the Downs; from 12-07 till 14-07 at Portland; from 29-09 till 31-09 at Annabon.",{}
41.1,AMSTERDAM,"Mau, Simon Lambrechtsz.",900,"",1600,"","",28-06-1600,Texel,"","",30-03-1601,Bantam,"","Fleet (0041-0046) under command of Van Neck aboard the AMSTERDAM and Foreest aboard the DORDRECHT, equipped by the Oude Oostindische Compagnie. From 01-10 till 10-10 at Annabon whereafter the fleet was divided into 2 squadrons: 1 squadron under command of Van Neck, consisted of the AMSTERDAM, the GOUDA, the DELFT and the other under command of Foreest, consisted of the LEIDEN, the DORDRECHT and the HAARLEM.","{""Total""=>{""I""=>175, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
43.1,DORDRECHT,"Mol, Dirk",900,"",1600,"","",28-06-1600,Texel,"","",09-08-1601,Bantam,"","","{""Total""=>{""I""=>166, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
45.1,HAARLEM,"Klaasz., Kornelis",350,"",1600,"","",28-06-1600,Texel,"","",09-08-1601,Bantam,"",Left behind at Patani in September 1603 as unseaworthy.,"{""Total""=>{""I""=>80, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
47.2,LANGEBARK,"Anthonisz., Nikolaas",300,"","","","",28-01-1601,Zeeland,"","",23-08-1601,Atjeh,"",Fleet (0047-0050) of the Verenigde Zeeuwsche Compagnie. July 17th. at Anjouan; August 14th at Ceylon. Total number of deaths 5.,{}
49.1,ZEELANDIA,"Bastiaansz., Kornelis",600,"","","","",28-01-1601,Zeeland,"","",23-08-1601,Atjeh,"","",{}
51.2,GELDERLAND,"Bruin, Jan",360,"","","","",23-04-1601,Texel,"","",26-12-1601,Bantam,"","Fleet (0051-0053) under command of admiraal Wolfert Harmensz. aboard the GELDERLAND and Hans Hendriksz. Bouwer, equipped by the Oude Oostindische Compagnie. From 27-09 till 20-10 at Mauritius.",{}
53.2,UTRECHT,"Martensz., Jan",240,"","","","",23-04-1601,Texel,"","",26-12-1601,Bantam,"","",{}
55.2,ZEELANDIA,"Kornelisz., Jan",360,"","","","",23-04-1601,Texel,"","",26-12-1601,Bantam,"","",{}
57.2,AMSTERDAM,"",500,"","","","",23-04-1601,Texel,"","",22-02-1602,Bantam,"","",{}
59.1,HOORN,"","","","","","",23-04-1601,Texel,"","",22-02-1602,Bantam,"","",{}
61.1,RODE LEEUW,"Klaasz., Pieter","",jacht,"","","",23-04-1601,Texel,"","","","","","",{}
63.1,ZWARTE LEEUW,"Blok, Adriaan","","","","","",22-04-1601,Wielingen,"","",04-04-1602,Bantam,"","",{}
65.1,RAM,"Fort, Guyon Le",110,"","","","",05-05-1601,Veere,"","",16-09-1602,Atjeh,"",With the death of Le Fort (26-06) the RAM was sold to the V.O.C. and put under the command of Sebald de Weert (see 0067-69).,{}
67.1,TER GOES,"Spanjaard, Marten Jelisz.",240,"","","",Zeeland,31-03-1602,Wielingen,"","",28-11-1602,Ceylon,"",Squadron (0067-0069) under the command of vice-admiraal Sebald de Weert aboard the ZIERIKZEE of the fleet of Van Warwyck. The three ships of Zeeland preceded the rest of the fleet. Took on provisions in the Bay of Antongil.,{}
69.1,ZIERIKZEE,"Jansz., Govert",760,"","","",Zeeland,31-03-1602,Wielingen,"","",28-11-1602,Ceylon,"","",{}
71.1,HOLLANDIA,"Hoorn, Dirk Gerritsz. van",600,"","",Amsterdam,Amsterdam,17-06-1602,Texel,"","",10-03-1603,Atjeh,"","",{}
73.1,MAURITIUS,"Petten, Pieter Kornelisz. van",700,"","","",Amsterdam,17-06-1602,Texel,"","",29-04-1603,Bantam,"","",{}
75.1,PAPEGAAITJE,"",50,jacht,"","",Enkhuizen,17-06-1602,Texel,"","",29-04-1603,Bantam,"","",{}
77.1,HOLLANDSE TUIN,"Haak, Hendrik",360/440,"","","",Enkhuizen,17-06-1602,Texel,"","",10-03-1603,Atjeh,"","",{}
79.1,EENDRACHT,"Haai, Adriaan Kornelisz.",240,"","","",Delft,18-06-1602,Maas,"","",29-04-1603,Bantam,"","",{}
81.1,ROTTERDAM,"Rochussen, Pieter Klaasz.",800,"","","",Rotterdam,18-06-1602,Maas,"","",29-04-1603,Bantam,"","",{}
83.2,DELFT,"Schouten, Willem Kornelisz.",300,jacht,"","",Amsterdam,18-12-1603,Texel,"","",1604/1605,Atjeh,"",According to Commelin the master was Willem Lok. The ship stayed in the Indies.,"{""Total""=>{""I""=>60, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
85.1,DUIFJE,"Jansz., Willem",60,jacht,"",Amsterdam,Amsterdam,18-12-1603,Texel,"","",11-12-1604,Bantam,"",Stayed in the Indies.,"{""Total""=>{""I""=>20, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
87.1,GELDERLAND,"Mol, Jan Jansz.",500,"","","",Amsterdam,18-12-1603,Texel,"","",31-12-1604,Bantam,"","","{""Total""=>{""I""=>120, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
89.1,HOORN,"Mooilieven, Dirk Klaasz.",700,"","",Hoorn,Hoorn,18-12-1603,Texel,"","",31-12-1604,Bantam,"",Took on provisions for about one month at Mauritius. Mooilieven was succeeded by Jan Konnelisz. van Avenhorn.,"{""Total""=>{""I""=>130, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
91.1,GEÜNIEERDE PROVINCIËN,"Hoen, Simon Jansz.",700,"","",Amsterdam,Amsterdam,18-12-1603,Texel,"","",31-12-1604,Bantam,"","Fleet under adm. Steven van der Hagen aboard the GEÜNIEERDE PROVINCIËN and vice-adm. Kornelis Bastiaansz. aboard the DORDRECHT (0082-0093). 10-01 till 12-02 at Plymouth; 10-03 till 30-05 at Maio Island, where the DORDRECHT and the ZEELANDIA joined the fleet; 30-06 the Cape rounded; 22-06 till 10-07 in the Verhagensbaai; 28-07 till 15-08 at Mozambique, the DELFT, the DUIFJE and the ENKHUIZEN sailed 5 days later and rejoined the fleet at the Comoro Islands; 19-08 till 27-08 at the Comoro Islands, 29-09 till 14-10 before Goa to harrass the Portuguese; 12-12 the DELFT set sail between Ceylon and Sumatra for Atjeh. The MEDEMBLIK and the HOP VAN HOLLAND left the fleet for Mauritius to look for the missing ship WACHTER. Forced by a contrary wind the ships arrived in the Bay of Antongil, where the ALKMAAR was found, deserted and destroyed by shipworm. The HOF VAN HOLLAND took over the cargo and sailed back home, the MEDEMBLIK proceeded to Bantam.","{""Total""=>{""I""=>130, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
93.1,ZEELANDIA,"Pietersz., Krijn",500,"","",Zeeland,Zeeland,18-12-1603,Wielingen,"","",1604,Cambodia,"","","{""Total""=>{""I""=>120, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
95.1,EENDRACHT,"Haai, Adriaan Kornelisz.",240,"","","",Delft,12-05-1605,"","","",13-07-1606,Bantam,"",Sent to Mauritius to collect ebony. According to Commelin departure 20-05-1605. At Mauritius 22-05-1606 (see 5068 and 5069). Destroyed by fire on the coast of Coromandel (1610).,{}
97.1,ZWARTE LEEUW,"Roobol, Gerrit Hendriksz.",600,"","",Amsterdam,Amsterdam,12-05-1605,Texel,"","",01-05-1606,Johore,"",According to Mac Leod the master was Abraham Mathijsz.,"{""Total""=>{""I""=>127, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
99.1,MIDDELBURG,"Mau, Simon Lambrechtsz.",600,"","","",Amsterdam,12-05-1605,Texel,"","",01-05-1606,Johore,"",18-08-1606 burnt in action before Malacca.,"{""Total""=>{""I""=>124, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
101.1,ORANJE,"Mol, Dirk Klaasz.",700,"","","",Amsterdam,12-05-1605,Texel,"","",01-05-1606,Johore,"","Fleet (0095-0106) under adm. Kornelis Matelieff aboard the ORANJE. On 14-05-1605 the 7 ships of Amsterdam arrived in Zeeland; on 24-5 they departed with the 2 ships of Zeeland. From 04 till 19-07 off Maio I. and 07 till 15-09 off Annabon; from 01 till 27-01 1606 at Mauritius. At 06-01 the WITTE LEEUW and the AMSTERDAM were sent for Atjeh under vice-adm. Olivier de Vivere. From 25-03 till 05-04 at the Nicobar Islands; from 01-05 the fleet was before Johore where it started operations against the Portuguese. The ERASMUS, the PROVINCIËN and probably the EENDRACHT departed not before 30-05 from the Maas. The first 2 ships joined Matelieff on 14-07-1607 off Malacca, the EENDRACHT was sent for Mauritius to collect ebony. In August 1610 this ship was destroyed by fire on the coast of Coromandel. The ship probably never formed part of the fleet of Matelieff. The GROTE ZON and the KLEINE ZON stayed in the Indies and were broken up at Banda.","{""Total""=>{""I""=>148, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
103.1,AMSTERDAM,"Lambrechtsz., Reinier",700,"","",Amsterdam,Zeeland,24-05-1605,Wielingen,"","",01-05-1606,Johore,"","","{""Total""=>{""I""=>179, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
105.2,ERASMUS,"Kornelisz., Olivier",540,"","","",Rotterdam,30-05-1605,Goeree,"","",14-07-1606,Johore,"","","{""Total""=>{""I""=>143, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
107.1,BANDA,"Brain, Jan",600/(800),"","","",Amsterdam,20-04-1606,Texel,"","",02-10-1607,Goa,"","Fleet (0107-0114) under adm. Paulus van Caerden aboard the BANDA and vice-adm. Adriaan Maartensz. aboard the WALCHEREN. The total number of those on board was 1060. From 23-05 till 03-06 on the roadstead of the isle of Wight, the 3 ships from Zeeland arrived here 25-05; 29-03 at Mocambique, where they started operations against the Portuguese. When leaving, 26-05, the ZIERIKZEE ran aground and was lost; the mainfleet was therefore unable to sail before June, 29th; from 08-06 till 17-07 at the Comoro I; from 04-08 till 26-08 again at Mozambique and 02-10 at Goa.",{}
109.1,CEYLON,"Dirksz., Willem",340,"","",Amsterdam,Amsterdam,20-04-1606,Texel,"","",02-10-1607,Goa,"","",{}
111.1,PATANIA,"Vries, Dirk Albertsz. de",340,"","",Enkhuizen,Enkhuizen,20-04-1606,Texel,"","",02-10-1607,Goa,"","",{}
113.1,WALCHEREN,"Maartensz., Arend",700,"","",Zeeland,Zeeland,14-05-1606,Wielingen,"","",02-10-1607,Goa,"","Riding at anchor off Ternate in 1608, the ship was lost due to bad weather.",{}
115.2,GELDERLAND,"",500,"","","",Amsterdam,13-12-1606,Texel,"","","","","","The ship was forced by bad weather to take refuge in the harbour of Vlissingen, July 19th and was lost, making its way out July 20th.",{}
117.1,GELDERLAND,"Mol, Jan Jansz.",700,"","","",Amsterdam,26-04-1607,Zeeland,"","",26-10-1607,Malabar,"","","{""Total""=>{""I""=>100, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
119.1,VALK,"Hooiwagen, Kornelis Adriaansz.",140,jacht,"",Zeeland,Zeeland,21-12-1607,Wielingen,"","",18-09-1608,Goa,"","Captured by the Spaniards off Manila, 25-04-1610.","{""Total""=>{""I""=>60, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
121.2,AMSTERDAM,"Genitsz., Pieter",700,"","",Amsterdam,Amsterdam,22-12-1607,Texel,"","",18-09-1608,Goa,"","Captured by the Spaniards off Manilla, 25-04-1610.","{""Total""=>{""I""=>140, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
123.1,DELFT,"Maartensz., Simon (Zwarte Simon)",800,"","",Delft,Delft,22-12-1607,Goeree,"","",18-09-1608,Goa,"","","{""Total""=>{""I""=>200, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
125.2,HOLLANDIA,"Hoen, Simon Jansz.",800,"","",Amsterdam,Amsterdam,22-12-1607,Texel,"","",18-09-1608,Goa,"",Fleet (0118-0130) under adm. Pieter Willemsz. Verhoeff aboard the GEÜNIEERDE PROVINClËN and vice-adm. Frans Hendriksz. Wittert aboard the MIDDELBURG. The 3 Zeeland ships and the mainfleet met at Maio I. February 1608; from 15-05 till 02-06 at St. Helena; 28-06 somewhere in the regions off the Cape; from 28-06 till 23-08 the fleet started operations against the Portuguese at Mozambique; from 18-09 till 02-10 off Goa.,"{""Total""=>{""I""=>200, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
127.1,RODE LEEUW MET PIJLEN,"Walijchsz., Jan",400,"","",Amsterdam,Amsterdam,22-12-1607,Texel,"","",18-09-1608,Goa,"","","{""Total""=>{""I""=>120, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
129.2,GEÜNIEERDE PROVINCIËN,"Vries, Frans Jakobsz. de",700,"","",Amsterdam,Amsterdam,22-12-1607,Texel,"","",19-09-1608,Goa,"",May 22th 1609 Frans Jakobsz. de Vries was murdered by the inhabitants of Banda.,"{""Total""=>{""I""=>160, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
131.2,MEDEMBLIK,"L'Hermite, Jacques",250,jacht,"","",Amsterdam,1608,Texel,"","","",Bantam,"",The ship was despatched to bring news of the forthcoming Twelve Years' Truce; stayed in the Indies and was wrecked near the Maledive Islands.,"{""Total""=>{""I""=>70, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
133.1,HALVE MAAN,"Hudson, Henry",80,jacht,"",Amsterdam,Amsterdam,06-04-1609,Texel,"","","","","",Destined to explore the North-East passage to the Indies; discovered Hudson Bay and returned 07-12 in Dartmouth. Further information see I'Honore Naber.,"{""Total""=>{""I""=>25, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
135.1,WAPEN VAN AMSTERDAM,"Kalf, Dirk Pietersz.",800,"","",Amsterdam,Amsterdam,30-01-1610,Texel,28-06-1610,10-08-1610,19-12-1610,Bantam,"",Fleet (0135-0142) under Gouverneur-Generaal Pieter Both aboard the WAPEN VAN AMSTERDAM. The 3 Zeeland ships met the mainfleet near the Isle of Wight at 01-02; from 21-02 till 27-02 at Maio I.; at 09-06 a storm scattered the fleet; from 19-09 till 16-10 the WAPEN VAN AMSTERDAM took on provisions at Mauritius.,"{""Total""=>{""I""=>110, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
137.2,CEYLON,"Smient, Dirk Gerritsz.",340,"","",Amsterdam,Amsterdam,30-01-1610,Texel,"","",08-08-1610,Mauritius,"",The CEYLON lost sight of the fleet 03-07.,"{""Total""=>{""I""=>55, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
139.3,WITTE LEEUW,"Smit, Klaas Rutgersz.",540,jacht,"",Amsterdam,Amsterdam,30-01-1610,Texel,"","",16-11-1610,Bantam,"",Lost sight of the fleet; from 24-07 till 03-08 in the 'Verhagens-baai'; from 29-08 till 27-09 at Mayotte.,"{""Total""=>{""I""=>100, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
141.2,ORANJE,"Riemland, Kornelis",700,"","",Amsterdam,Zeeland,30-01-1610,Wielingen,"","",16-11-1610,Bantam,"",See 0139.,"{""Total""=>{""I""=>100, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
143.3,GOUDA,"Hermansz., Albert",260,"","",Amsterdam,Amsterdam,28-12-1610,Texel,"",04-06-1611,24-08-1611,Bantam,"","Fleet (0143-0144) under the command of Hendrik Brouwer aboard the RODE LEEUW MET PIJLEN sailed the southern passage for the first time (latitude ca. 36° south), which was made obligatory in 1616. The GOUDA was captured by the Spaniards near Tidore, 04-05-1612.","{""Total""=>{""I""=>99, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
145.2,TER VEERE,"Arnemuiden, Willem Jakobsz. van",700,"","",Zeeland,Zeeland,28-12-1610,Wielingen,"","",05-09-1611,Bantam,"","","{""Total""=>{""I""=>95, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
147.2,BANTAM,"Arendse, Kornelis",900/(700),"","","",Enkhuizen,02-05-1611,Texel,"","",02-03-1612,Bantam,"","","{""Total""=>{""I""=>110, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
149.1,GROTE AEOLUS,"Bouwesz., Bouwe",300,"","",Amsterdam,Amsterdam,29-12-1611,Texel,"","",28-11-1612,Bantam,"",Capsized near Makian 31-01-1613; 15 survivors.,{}
151.1,DUIFJE,"Serpent, Dirk Barendsz.",50,jacht,"",Amsterdam,Amsterdam,29-12-1611,Texel,"","",24-10-1612,Bantam,"","Ran aground near Surat and lost, 17-07-1617.",{}
153.1,GROENE LEEUW,"Warebouts, Klaas",140,jacht,"",Amsterdam,Amsterdam,29-12-1611,Texel,"","",08-09-1612,Pulicat,"","",{}
155.1,GROTE MAAN,"Gerritsz., Jan",500,"","",Amsterdam,Amsterdam,29-12-1611,Texel,"","",28-11-1612,Bantam,"",Lost sight of the mainfleet after a heavy storm 05-07 but joined the fleet again at 22-10; in the meanwhile took on provisions in the Bay of Antongil.,{}
157.1,STER,"Klaasz., Wouter",160,"","",Amsterdam,Amsterdam,29-12-1611,Texel,"","",08-09-1612,Pulicat,"","",{}
159.3,ORANJE,"Jansz., Willem",700,"","",Amsterdam,Amsterdam,02-01-1612,Wielingen,"","",28-11-1612,Bantam,"",Lost in the Indies 02-10-1614.,{}
161.3,ZEELANDIA,"Klaasz., Abraham",500,"","",Zeeland,Zeeland,02-01-1612,Wielingen,"","",23-11-1612,Bantam,"",Also mentioned as ZEELAND or OUD-ZEELAND.,{}
163.3,GEÜNIEERDE PROVINCIËN,"Antonisz., Rutger",700,"","",Amsterdam,Amsterdam,12-05-1612,Texel,"","",09-02-1613,Bantam,"","",{}
165.1,HOORN,"Jansz., Olf",700,"","",Hoorn,Hoorn,31-01-1613,Texel,"","",04-01-1614,Bantam,"","","{""Total""=>{""I""=>230, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
167.1,NEPTUNUS,"Pot, Barend","",jacht,"","",Amsterdam, -04-1613,"","","",16-08-1614,Bantam,"",Reprovisioned in St. Lucia Bay. The ship stayed in the Indies and was laid up ca. 1620-1621.,{}
169.2,MIDDELBURG,"Reiniersz., Maarten",800,"","","",Zeeland,04-04-1613,Wielingen,"","",05-01/02 1614,Bantam,"","Fleet (0169-0170) under the command of Jasper van Surk aboard the MIDDELBURG. May 4th at Maio I.; August 10th the ZEELANDIA disappeared from sight and the MIDDELBURG reprovisioned in St. Lucia Bay. Later the MIDDELBURG was lost near Surat, 19-07-1617.","{""Total""=>{""I""=>250, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>20, ""VI""=>""""}}"
171.2,DELFT,"Hillebrandsz., Jan",800,"","",Delft,Delft,05-06-1613,Goeree,"","",05-05-1614,Bantam,"","","{""Total""=>{""I""=>230, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
173.3,HOLLANDIA,"Hansz., Kornelis",800,"","",Amsterdam,Amsterdam,02-07-1613,Texel,"","",05-11-1614,Bantam,"",Fleet (0172-0175) under command of Gouverneur-Generaal Gerard Reynst and admiraal Steven van der Hagen aboard the WAPEN VAN AMSTERDAM. From 29-09 till 05-10 at S. Vincente; January 10th. at Cape Lopez; from 21-02 till 02-03 at Annabon; May 31th. somewhere off the Cape; from 13-06 till 21-07 at the Comoro Islands.,"{""Total""=>{""I""=>250, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
175.1,NASSAU,"Pietersz., Jan",300,jacht,"","",Amsterdam,02-07-1613,Texel,"","",30-12-1614,Bantam,"",According to Coolhaas the ship arrived at Bantam 16-01-1615. The ship stayed in the Indies and ran aground in the river Andragiri 19-09-1615.,"{""Total""=>{""I""=>90, ""II""=>"""", ""III""=>"""", ""IV""=>"""", ""V""=>"""", ""VI""=>""""}}"
